sku,product_name,product_category,product_subcategory,unit_price,unit_weight,is_innovation,effective_from,product_ref_id
60-0014,Kola Pop Fruity,Candies,pop candy,19550,6.0,Yes,2024-10-01,c607ae0e-24a0-4f67-828c-0253747802f7
60-178,Tartina 7 Kg,Spreads,Extra Menange,13300,7.0,Yes,2024-10-01,bc68e3d3-0068-4826-a593-8d79850c15c2
60-018-,Kola Fruity 400g,Candies,None,20700,nan,No,2024-10-01,73763f91-19c6-4a93-bd31-519a1ea4035f
60-0046+-,"Cacao Poudre Pure (12,5 Kg)",Beverages,None,75781,nan,No,2024-10-01,2e177337-2a94-4a77-8446-f255fe5171be
60-122A,Big Gum fresh menthe Verte,Gums,Menthol Gum,22000,nan,yes,2024-10-01,08b3e991-a8d6-4f31-a3c7-ccc5a7bc3125
60-122B,Big Gum fresh Menthe Poivrée,Gums,Menthol Gum,22000,nan,Yes,2024-10-01,838eab2d-406f-4201-932a-10d2130f633f
60-101,"Mambo End Of Year 1 3,48 KG",Chocolates,Bar,25010,3.48,Yes,2024-10-01,8dacf5a4-a56d-46e9-96f5-25bebf580d93
60-102,"Mambo End Of Year 2 3,48 KG",Chocolates,Bar,31375,3.48,Yes,2024-10-01,a17c2f68-0382-46d0-9b4e-d0235ba39c8b
60-72C,Mambo Au Lait Fraise 80g (80*2*45),Chocolates,Slap,72250,7.2,Yes,2024-10-01,9884e45f-b343-4f60-83b8-3bcf64cfb427
60-80C,Mambo Au Lait Noix 80g (80*2*45),Chocolates,Slap,72250,7.2,Yes,2024-10-01,62b61a8b-ff9d-4ccf-8404-f080bf10d24e
60-71C,Mambo Au Lait Cappuccino 80g (80*2*45),Chocolates,Slap,72250,7.2,Yes,2024-10-01,f35a2c93-1b98-46a1-a6ce-069fc62939f0
